study	Stephan Comments	platform	location	rundate	fhet-th	hwe-th-ca	hwe-th-co	la1000_fifi:	la1000_postqc:	la1000_preqc:	lambda_fifi	lambda_postqc	lambda_preqc	lmiss-th	midi-th	miss-th	ncases_postqc	ncases_preqc	ncontrols_postqc	ncontrols_preqc	ngenotypes_postqc	nidex_fhet	nidex_fhet_cases	nidex_fhet_controls	nidex_miss	nidex_miss_cases	nidex_miss_controls	nidex_miss_hafi_noex	nidex_sexcheck_ex	nidex_sexcheck_undefined_ped	nidex_sexcheck_undefined_snp	nidex_sexcheck_warni	nnopt_postqc	nnopt_preqc	nobs_fifi_maf02:	nobs_postqc_maf02:	nobs_preqc_maf02:	nsnpex_hwe-ca	nsnpex_hwe-co	nsnpex_midi	nsnpex_miss	nsnpex_mono	nsnpex_prefilter	nsnpex_prekno	nsnpex_prekno_autosomes	nsnpin_prekno	nsnps_postqc	nsnps_preqc	p_imiss_caco_fifi	p_imiss_caco_postqc	p_imiss_caco_preqc	withpna
bas_uka4_eur_sr		A5.0	/psych/genetics_data/ripke/pgc/cdg/bip_scz/0215a/bip_vs_scz/merge_uclo_edin/preimp/qc	Thu_Jul__9_17:27:02_2015	0.2	-10	-6	1.042	1.042	1.042	1.035	1.035	1.035	0.02	0.02	0.02	889	889	773	773	394856298	0	0	0	0	0	0	0	0	0	0	0	0	0	233728	233714	233731	0	3	11	3	0	0	0	0	0	237579	237596	0	0	0	0
bip_edi1_eur_sr		A5.0	/psych/genetics_data/ripke/pgc/bip/rework_0914/wave1/preimp_part1/qc	Sun_Sep_28_11:49:51_2014	0.2	-10	-6	1.086	1.079	1.143	1.024	1.022	1.040	0.02	0.02	0.02	282	283	275	275	192039675	0	0	0	1	1	0	3	0	0	0	0	0	0	347227	338105	361921	0	0	9343	12264	0	2786	0	0	0	344775	369168	0.02	0.0014	2.2e-05	0
bip_st2c_eur_sr		A5.0	/psych/genetics_data/ripke/pgc/bip/rework_0914/wave1/step2_RA_MIGEN_MA/qc/pcain/qc	Tue_Sep_30_04:39:22_2014	0.2	-10	-6	1.151	1.149	1.155	1.128	1.126	1.132	0.02	0.02	0.02	639	645	1257	1259	572030784	0	0	0	8	6	2	829	0	0	0	0	0	0	299475	297195	311881	0	0	2332	2369	0	11194	0	0	0	301704	317599	0	2.4e-07	0	0
bip_stp1_eur_sr		A5.0	/psych/genetics_data/ripke/pgc/bip/rework_0914/wave1/preimp_part1/qc	Sun_Sep_28_11:49:51_2014	0.2	-10	-6	1.036	1.036	1.035	1.041	1.041	1.041	0.02	0.02	0.02	927	954	1470	1498	793891194	0	0	0	55	27	28	68	0	0	0	0	0	0	322570	322558	362421	2	1	11	37886	0	2782	0	0	0	331202	371884	0.97	0.97	0.31	0
bip_uclo_eur_sr		A5.0	/psych/genetics_data/ripke/pgc/bip/rework_0914/wave1/preimp_part1/qc	Sun_Sep_28_11:49:51_2014	0.2	-10	-6	1.008	1.006	1.014	1.004	1.003	1.007	0.02	0.02	0.02	491	506	495	509	339704608	0	0	0	29	15	14	30	0	0	0	0	0	0	336485	335924	361080	0	1	584	24558	0	886	0	0	0	344528	370557	0.64	0.58	0.93	0
bip_wtcc_eur_sr		A5.0	/psych/genetics_data/ripke/pgc/bip/rework_0914/wave1/preimp_part1/qc	Sun_Sep_28_11:49:51_2014	0.2	-10	-6	1.050	1.050	1.054	1.114	1.114	1.123	0.02	0.02	0.02	1862	1868	2934	2938	2075142872	0	0	0	4	3	1	4	6	0	4	4	0	0	377747	377331	395453	26	130	298	16876	17934	827	0	0	0	432682	468772	4.2e-06	5.7e-06	6e-07	0
mdd_col3_eur_sr		A5.0	/psych/genetics_data/ripke/pgc/mdd/preimp_colaus.0914b/qc	Fri_Oct__3_11:27:58_2014	0.2	-10	-6	0.997	0.997	1.006	0.998	0.998	1.005	0.02	0.02	0.02	508	558	1464	1550	735867576	0	0	0	136	50	86	379	0	0	0	0	0	0	316241	316136	387437	0	2	121	49331	7193	30617	0	0	0	373158	460420	0.0065	0.0072	0.00086	0
mdd_sta2_eur_sr		A5.0	/psych/genetics_data/ripke/pgc/mdd/preimp_collect_0914/qc	Fri_Sep_26_05:43:47_2014	0.2	-10	-6	1.059	1.051	1.065	1.062	1.054	1.069	0.02	0.02	0.02	1242	1245	909	937	582318720	0	0	0	31	3	28	31	0	0	0	0	0	0	283527	270716	283981	51	0	12771	454	0	0	0	0	0	270720	283985	0	0	0	0
aut_ace2_eur_sr	trios	I550	/psych/genetics_data/ripke/pgc/aut/1214_trios2caco/merge_caco_postqc/preimp_0115a/qc	Fri_Jan__2_13:29:26_2015	0.2	-10	-6	4.278	4.278	4.278	2.701	2.701	2.701	0.02	0.02	0.02	391	391	771	771	392465500	0	0	0	0	0	0	0	0	0	0	0	0	0	335462	334923	335467	0	0	541	5	0	0	1	1	0	337750	338296	0	0	0	0
aut_ace3_eur_sr	trios	I550	/psych/genetics_data/ripke/pgc/aut/1214_trios2caco/merge_caco_postqc/preimp_0115a/qc/pcain/qc	Fri_Jan__2_18:36:36_2015	0.2	-10	-6	2.154	2.156	2.154	1.530	1.531	1.530	0.02	0.02	0.02	327	327	771	771	370783620	0	0	0	0	0	0	0	0	0	0	0	0	0	335453	334863	335467	0	0	592	14	0	0	0	0	0	337690	338296	0	0	0	0
